Date,VCB.VN_Open,VCB.VN_High,VCB.VN_Low,VCB.VN_Close,VCB.VN_Adj Close,VCB.VN_Volume,LPB.VN_Open,LPB.VN_High,LPB.VN_Low,LPB.VN_Close,LPB.VN_Adj Close,LPB.VN_Volume,HPG.VN_Open,HPG.VN_High,HPG.VN_Low,HPG.VN_Close,HPG.VN_Adj Close,HPG.VN_Volume,VIX.VN_Open,VIX.VN_High,VIX.VN_Low,VIX.VN_Close,VIX.VN_Adj Close,VIX.VN_Volume,YEG.VN_Open,YEG.VN_High,YEG.VN_Low,YEG.VN_Close,YEG.VN_Adj Close,YEG.VN_Volume,HAH.VN_Open,HAH.VN_High,HAH.VN_Low,HAH.VN_Close,HAH.VN_Adj Close,HAH.VN_Volume,HHS.VN_Open,HHS.VN_High,HHS.VN_Low,HHS.VN_Close,HHS.VN_Adj Close,HHS.VN_Volume
2022-10-17,38117.4609375,38513.9296875,37097.9765625,37551.08203125,37551.08203125,2297744,6694.16064453125,6944.40966796875,6631.5986328125,6881.84765625,6881.84765625,12019228,17500.0,17590.908203125,17181.818359375,17500.0,17500.0,25115034.0,5731.88427734375,6014.49267578125,5695.65234375,6014.49267578125,6014.49267578125,17832496.0,9117.3056640625,9349.59375,9001.1611328125,9175.3779296875,9175.3779296875,44254.0,24347.826171875,24724.63671875,23739.130859375,24347.826171875,24347.826171875,2443807.0,4245.283203125,4245.283203125,4131.72607421875,4201.607421875,4201.607421875,454027.0
2022-10-18,38513.9296875,38513.9296875,38117.4609375,38344.015625,38344.015625,1597863,7038.2529296875,7132.09619140625,6850.56640625,6881.84765625,6881.84765625,18863292,17727.2734375,17909.091796875,17000.0,17136.36328125,17136.36328125,31357259.0,6224.6376953125,6231.88427734375,5992.75341796875,5992.75341796875,5992.75341796875,15216954.0,9262.4853515625,9465.7373046875,9262.4853515625,9262.4853515625,9262.4853515625,107796.0,24811.59375,25043.478515625,24231.884765625,24347.826171875,24347.826171875,3288022.0,4315.1640625,4454.9267578125,4271.48828125,4297.69384765625,4297.69384765625,1191736.0
2022-10-19,38457.2890625,38513.9296875,38117.4609375,38457.2890625,38457.2890625,1229559,6944.40966796875,7006.97216796875,6756.72314453125,6819.28515625,6819.28515625,11245598,17136.36328125,17136.36328125,16681.818359375,16727.2734375,16727.2734375,22259159.0,6050.724609375,6079.7099609375,5826.0869140625,5862.31884765625,5862.31884765625,10776143.0,9407.6650390625,9436.701171875,9001.1611328125,9001.1611328125,9001.1611328125,36333.0,24463.767578125,24898.55078125,24202.8984375,24695.65234375,24695.65234375,1729485.0,4297.69384765625,4332.63427734375,4236.5478515625,4245.283203125,4245.283203125,602050.0
2022-10-20,38457.2890625,39646.69140625,38004.1875,39193.5859375,39193.5859375,2784841,6819.28515625,6850.56640625,6631.5986328125,6725.44189453125,6725.44189453125,8830319,16681.818359375,16909.091796875,16409.091796875,16454.544921875,16454.544921875,28636299.0,5797.1015625,5847.826171875,5579.7099609375,5637.68115234375,5637.68115234375,10551755.0,8826.9453125,9291.521484375,8826.9453125,9175.3779296875,9175.3779296875,26862.0,24434.783203125,25043.478515625,24086.95703125,24695.65234375,24695.65234375,2992461.0,4280.2236328125,4280.2236328125,4175.40185546875,4201.607421875,4201.607421875,714145.0
2022-10-21,39193.5859375,40043.16015625,38513.9296875,38513.9296875,38513.9296875,2568410,6819.28515625,6819.28515625,6256.22509765625,6287.505859375,6287.505859375,17574495,16636.36328125,16636.36328125,15363.63671875,15363.63671875,15363.63671875,49670169.0,5652.173828125,5681.1591796875,5246.376953125,5246.376953125,5246.376953125,16508387.0,9291.521484375,9291.521484375,8536.5849609375,8536.5849609375,8536.5849609375,407079.0,24695.65234375,24724.63671875,22985.5078125,23449.275390625,23449.275390625,5103412.0,4192.8720703125,4201.607421875,3913.347412109375,3913.347412109375,3913.347412109375,1822636.0
2022-10-24,39363.5,39363.5,37267.890625,38513.9296875,38513.9296875,1543306,6318.787109375,6443.91162109375,5849.5703125,5849.5703125,5849.5703125,18414459,15454.5458984375,15500.0,14727.2724609375,14909.0908203125,14909.0908203125,30960379.0,5239.13037109375,5246.376953125,4884.05810546875,4884.05810546875,4884.05810546875,15125075.0,8885.017578125,8943.08984375,7955.865234375,7955.865234375,7955.865234375,185114.0,23420.2890625,23420.2890625,21826.087890625,21826.087890625,21826.087890625,1961670.0,3930.817626953125,4096.78564453125,3642.5576171875,3642.5576171875,3642.5576171875,1835686.0
2022-10-25,37381.16796875,39986.51953125,37381.16796875,39590.0546875,39590.0546875,2991270,5880.8515625,6256.22509765625,5693.16455078125,6256.22509765625,6256.22509765625,32218470,14909.0908203125,15909.0908203125,14590.9091796875,15545.4541015625,15545.4541015625,34308449.0,4615.94189453125,5217.39111328125,4543.47802734375,4782.60888671875,4782.60888671875,15213119.0,7955.865234375,7955.865234375,7404.18115234375,7404.18115234375,7404.18115234375,223342.0,20985.5078125,22405.796875,20318.83984375,20347.826171875,20347.826171875,3998722.0,3476.58984375,3668.76318359375,3389.23828125,3406.70849609375,3406.70849609375,2580608.0
2022-10-26,39986.51953125,39986.51953125,38797.12109375,39646.69140625,39646.69140625,1150107,6381.349609375,6537.7548828125,6287.505859375,6475.19287109375,6475.19287109375,15743678,15454.5458984375,15818.181640625,15318.181640625,15363.63671875,15363.63671875,13224749.0,4891.30419921875,4992.75341796875,4565.21728515625,4565.21728515625,4565.21728515625,6131476.0,7084.78515625,7694.541015625,6910.5693359375,6910.5693359375,6910.5693359375,235052.0,20057.970703125,20869.564453125,18927.537109375,18927.537109375,18927.537109375,2383432.0,3197.06494140625,3572.676513671875,3197.06494140625,3266.9462890625,3266.9462890625,1116065.0
2022-10-27,39929.8828125,41289.1953125,39250.22265625,40609.5390625,40609.5390625,2291387,6537.7548828125,6913.12841796875,6537.7548828125,6913.12841796875,6913.12841796875,27006541,15409.0908203125,16000.0,15363.63671875,15818.181640625,15818.181640625,23503479.0,4673.9130859375,4884.05810546875,4637.68115234375,4884.05810546875,4884.05810546875,14729980.0,6475.02880859375,7259.0009765625,6445.9931640625,7026.712890625,7026.712890625,450990.0,17971.013671875,19942.029296875,17971.013671875,19710.14453125,19710.14453125,2469165.0,3406.70849609375,3485.324951171875,3057.302490234375,3485.324951171875,3485.324951171875,1979015.0
2022-10-28,41062.64453125,42195.40625,40552.90234375,40552.90234375,40552.90234375,2756093,7100.8154296875,7257.220703125,6975.69091796875,7069.5341796875,7069.5341796875,26652653,15818.181640625,16045.4541015625,15272.7275390625,15272.7275390625,15272.7275390625,34545389.0,5108.69580078125,5224.6376953125,5072.4638671875,5224.6376953125,5224.6376953125,23176132.0,7055.7490234375,7259.0009765625,6881.533203125,7026.712890625,7026.712890625,45976.0,20000.0,20115.94140625,19391.3046875,19478.26171875,19478.26171875,1961152.0,3572.676513671875,3625.08740234375,3467.854736328125,3476.58984375,3476.58984375,1766426.0
